                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 2.9766,                 2.8971,                 2.6688,                0.49624,                0.27304,                 0.2814,                0.13935,                 3.3027,                 3.2749,                   2.88,             0.00047015,             0.00047015,             0.00047015
                     47,                 2.9704,                 2.8293,                 2.6643,                0.47137,                0.34038,                0.27569,                0.15112,                 3.3306,                 3.3687,                 2.9191,              0.0004619,              0.0004619,              0.0004619
                     48,                 2.9623,                 2.8395,                 2.6648,                0.36617,                0.29149,                0.24071,                0.12449,                 3.4004,                 3.3577,                 2.9626,             0.00045365,             0.00045365,             0.00045365
                     49,                 2.9116,                 2.7842,                 2.6234,                0.44359,                0.31236,                0.26907,                  0.146,                 3.3238,                 3.3655,                 2.9455,             0.00044541,             0.00044541,             0.00044541
                     50,                 2.8911,                 2.7127,                 2.6198,                0.47354,                0.32906,                0.30105,                0.15755,                 3.3045,                 3.3161,                 2.9015,             0.00043716,             0.00043716,             0.00043716
                     51,                 2.8646,                 2.7054,                 2.5774,                0.46493,                0.35932,                0.29378,                0.15761,                 3.3404,                 3.3321,                  2.971,             0.00042891,             0.00042891,             0.00042891
                     52,                 2.9031,                 2.7257,                 2.6085,                0.43669,                0.30144,                0.27191,                0.14139,                  3.352,                 3.2283,                 2.9368,             0.00042066,             0.00042066,             0.00042066
                     53,                 2.8907,                 2.6505,                 2.6095,                0.54087,                0.31332,                0.27296,                0.14119,                 3.3626,                  3.304,                 2.9675,             0.00041242,             0.00041242,             0.00041242
                     54,                 2.8466,                 2.7057,                 2.5984,                0.49861,                0.26535,                0.25541,                0.13783,                  3.334,                 3.2978,                 2.9569,             0.00040417,             0.00040417,             0.00040417
                     55,                 2.8249,                 2.6243,                 2.5627,                0.35875,                0.39555,                0.25894,                0.14773,                 3.3329,                 3.3905,                 2.9437,             0.00039592,             0.00039592,             0.00039592
                     56,                 2.8082,                 2.5738,                 2.5469,                0.43049,                0.32809,                0.27272,                 0.1444,                 3.3235,                 3.3215,                 2.9543,             0.00038768,             0.00038768,             0.00038768
                     57,                 2.8165,                 2.5422,                 2.5432,                0.46056,                0.28661,                0.26564,                0.15008,                 3.3554,                 3.3044,                 2.9611,             0.00037943,             0.00037943,             0.00037943
                     58,                  2.783,                 2.5802,                 2.5479,                0.42711,                0.33212,                0.27705,                0.14213,                 3.3631,                 3.2451,                 2.9711,             0.00037118,             0.00037118,             0.00037118
                     59,                 2.7656,                 2.5275,                 2.5385,                0.43751,                0.25625,                0.26004,                0.14536,                 3.3424,                 3.2656,                  2.956,             0.00036294,             0.00036294,             0.00036294
                     60,                 2.7292,                  2.446,                 2.4944,                0.54328,                0.27324,                 0.2715,                0.14646,                 3.3572,                 3.2238,                 2.9934,             0.00035469,             0.00035469,             0.00035469
